codsector,year,valdivia,launion,riobueno,paillaco,panguipulli,mariquina,restocomunas
A,2013,199951.789,46219.91064,45227.68085,21444.72453,37105.76458,15786.21597,105464.932
B,2013,4336.061941,846.2624469,1586.797718,410.4865752,158.039373,293.5133898,2048.519458
C,2013,165944.5645,380683.7041,9844.644641,2841.213802,5340.242502,1467.143521,8696.510724
D,2013,295.2221062,0,4544.543736,19231.65405,168.566476,357.3018787,1426.696737
E,2013,5403.345847,116.3233085,298.710635,1121.931304,731.526756,506.3119875,868.2308029
F,2013,47996.8822,3624.667322,2108.32414,1598.428244,12328.03914,3420.969153,9341.841598
G,2013,136190.2177,14765.62098,12683.34946,11299.85858,13067.0323,6572.662862,26667.27526
H,2013,28391.13091,9446.325225,1199.231163,1692.440309,9605.629539,1257.493851,2716.514314
I,2013,15918.20524,883.4655035,702.4948344,278.7995676,1521.323039,517.1435031,1905.671857
J,2013,54717.18632,118.7452884,116.3369422,945.5959932,113.7566758,55.11984902,9142.781787
K,2013,5994.863076,623.1435304,214.9547114,25009.88099,19286.81238,0,673.1753149
L,2013,27973.39031,597.5127372,253.0994444,808.6192608,10515.82976,71.88469334,866.9074904
M,2013,6719.748596,551.5921315,370.9627884,117.4153244,773.9235516,284.5432708,359.2661884
N,2013,8462.986945,1305.572743,458.4393644,98.55220497,142.8258025,60.60082272,567.0669013
O,2013,13.82150553,47.50590257,32.77503926,27.59004583,36.87116254,16.14966475,52.78087429
P,2013,40182.46371,1054.958956,914.3194966,1304.95843,162.8675979,759.2631878,3778.992449
Q,2013,24775.59835,234.109938,12.19922094,48.23114511,6.631868123,713.3043796,281.7504873
R,2013,1130.244688,27.20434778,48.53514265,137.0641102,184.6962744,0,4527.403943
S,2013,2872.290076,324.2110782,114.5783312,33.9826883,627.7711431,104.620761,406.645859
A,2014,163217.0206,48581.82727,53737.03995,26062.75907,16365.61253,21650.59002,104794.1152
B,2014,5998.814376,2527.455879,1698.550239,347.4801049,261.7465472,295.8991934,1826.929035
